,店舗名,口コミ
0,うなぎ仁,薬院で鰻？聞いただけでお上品な雰囲気が漂って来ますね。私は正直鰻がずっと苦手だったのですが、ここ2、3年でようやく鰻の良さがわかるようになりました。なので鰻に対しては舌は肥えていませんので悪しからず。住宅街に雰囲気のいい門構えが現れました。すでに美味そう！(笑入店するととても品のいい店内と美人な店員さんが迎えてくれます。早速うざくをつまみにビール。いいね～。この昼から飲む背徳感。今回は特うな重を注文。もう一つ上に頂上という鰻重がありましたが、それは今度のお楽しみにと。ご飯の量も普通とか少なめとか選べます。ここもポイント高いです！私はお酒を飲みながらの鰻重を堪能したかったのでご飯は少なめに。お重を開けるとツヤツヤの立派な鰻ちゃんが！一口頬張るとアッサリとしていて、タレも甘ったるくなく私好み。箸を入れてスッと切れるタイプの鰻ではありませんが、鰻の香りが口いっぱいに広がります。これが鹿児島産の鰻なのね。お店の雰囲気が鰻の美味さをさらに助長します。獺祭を飲みながらの鰻もまた美味し。今度はコースにも挑戦してみようかな～。普段の仕事の慌ただしさを忘れられる空間でとても癒されました。再訪確実のお店でした。
0,うなぎ仁,●訪問回数1回薬院大通にできた、鹿児島の養鰻会社直営？の鰻屋さんのようです。料理長は銀座竹葉亭にいた方のようで、あっさりとした味わいの鰻が食べられます。普段は鰻会席などもあるのですが、土用丑の日前後とお盆期間中は、季節限定メニューで、鰻重やせいろ蒸しなどの単品メニューしかありません。3人で行ったので、頼める範囲でいろいろと試してみました。うざく胡瓜の切り方はかなり薄い酢の塩梅もよく、カリカリに焼かれた鰻との絡みもよいです白キクラゲのようなものも入ってます個人的には胡瓜の分量がもうちょっとあった方が好みでした。続いて肝焼きタレはあっさり味です。肝の癖も強すぎず程よい感じでこれまた美味しいですうまきメニューには乗ってなかったのですが、お姉さんが注文の復唱をするときに、間違えて「うまき」といったので「え、できるんですか？」と言ったら、厨房に確認してくれて、混んでないからできますよということで注文できました。卵は優しい味わい。鰻の味つけはこちらも繊細でしたが、卵の層が厚いので、もう少し濃い方が良いかもしれません。白焼きふっくらとして香ばしく、鰻の味わいも臭みがなく、程よい個性があり美味しいです。醤油とワサビで食べさせます。せいろ蒸し見た目がきれいに並べられています。卵とか余計なものがないシンプルな盛り付けです。九州でよくあるような甘すぎる味付けでないので、鰻の風味を生かしてこれも美味しいです。ひつまぶし鰻は香ばしく焼かれていて、細切り途中でかける出汁もあっさりした感じ（昆布だし？）で美味しかったです。最後に鰻重（特上）これは私が頼んだのですが、この店では一番好きなメニューでした。香ばしく、柔らかさもあり（蒸しも入っているのか？養殖期間のせいか？）素晴らしいです。熱がこもっているのが良いですね。熱々であわてて食べると火傷しそうです。味付けも、甘みを抑えたあっさりしたもので、九州の人には物足りないかもしれませんが、私にはちょうど良いです。鰻の旨みや甘みを感じさせます。テーブルに追加のタレや山椒も用意されていますの、必要に応じて使えばよいと思います。（追加のタレの注器が非常に出にくかったのが少し気になりました。たぶん使う方はタレ多めに使いたいと思われますので）店の設えは高級感がありますし器も立派です。全体的に、あっさり味を好む方には大変よいお店だと思いました。マッチングする客層・あっさりした東京スタイルの鰻を好む方（九州の甘辛が強すぎる鰻が苦手な方）・設えが立派なので、幼児から小学校低学年までは個室利用が良いかも・大人数の会食にも対応できそう（40席）
0,うなぎ仁,ウナギストが振出しに戻り失格中なワタシ…(~_~;)熊本ではあんなに食べれたのに福岡ではとんとウナ美ちゃんと縁がなくなったみたいｗｗマイレビさんからの土日、祝日でもその気になれば食べられるだろうって言葉でちょっとおしりに火が付いた感じで休日の13：40に○道に行ってみるとこの時間でもかなりの行列…この暑さじゃ並ぶ元気も出ない…ってことで第2候補の仁さんへ路線変更～！こちらは行列なくは入れましたがお客さんの入りは5割くらいってとこか…。暑い中歩き回ってのどカラカラ～(~_~;)ちべたいビールちょーだーいっ！鰻はうな重の特上でお願いしまーす(^^)結構待つのかとビールを飲みつつ待ってると10分もかからず配膳され拍子抜け。パッカーンっとふたを開けて1年2か月ぶりにウナ美ちゃんとご対面！！おおっ、これこれ！なんで1年2か月も鰻断ちしてたんだろう！で久しぶりのひと口…んっ、マイレビさんが言ってた焼き目は若干のパリっと感は感じるものの身の脂の乗りはイマイチでタレも薄い…(~_~;)感動もインパクトもなくひと口目から人吉の○村さんが恋しくなった…。食べ進めますが途中で追いタレ（小瓶でめちゃ出しにくい）かけまくり…。鰻ってタレの甘い香りと鰻のうま味が相まって白ごはんがガンガンススムものという概念なんですが白ごはんが思ったように進まない…。そんな感じのウナ美ちゃんとの再会でした…ｗボチボチと復活に向け鰻も開拓しまっしょ！
0,うなぎ仁,また福岡に新たな鰻点が参入です。2019年6月、薬院六つ角に新規オープンしたうなぎのお店。薬院大通をはさんで反対側にある某鰻屋さんは宮崎産鰻ですが、こちらは鹿児島から。日本最大規模の養殖鰻、鹿児島鰻さん直営店になります。梅雨も明けて季節は本格的な夏の様相、そろそろ鰻の季節だな、と土用の丑の日は混み合いそうなので、前倒しで訪店。料亭を彷彿とさせる高級感のある店内。流れるBGMはクラシックです。メニューはうな丼、うな重、せいろ蒸し。ひつまぶしまであります。違和感がありますが、新しいお店はこれが普通になってきてるのかな？もちろんうまきや肝焼きもラインナップ。初訪店なので、とりあえず「うな重とうざく」マイ定番の2品を頂くことに。うな重は(上、特上、頂上)の三種類。上は小さめ鰻1尾。特上は大きめ鰻1尾。特上は大きめ鰻1.5尾だそう。ご飯は多め、少なめとできるがおそらく普通が一番でしょう。肝吸い付き。うざく。酢はあまり強くない。きゅうりとミョウガ、菊のあしらい。鰻はかなり細切れになっているが、皮目がカリカリに焼いてあって美味。次はいよいよ本命のうな重です。フタをあけると立ち上る湯気とともに香ばしい香りが広がります。まずは見た目が美しい。つやのあるお米の上に、整然と鰻が敷き詰められている。皮目はしっかりパリッと焼かれ、身はふっくらやわらかい。丁寧に焼き上げられているのが分かる。脂ののり具合がまたちょうどいい。個人的に、あまり脂がのりすぎているのは後半しつこくなるので好みじゃない。その限度を超えていない。臭みがないので山椒もいらない。たれは、焦がし醤油の風味が香ばしい。甘さ控えめですっきりした後味。何かに風味が似てるな…と思って考えてみた。あっ！冷食の焼きおにぎりに似てる(笑)決して「その程度」という意味ではない。逆に言えば昨今の冷食がすごいのだろう。お米は最高の炊きあがり。つやつや、うな重に合ったやや固め。お米のレベルの高さが全てを証明している。肝吸いにはけちらず大きな肝が。おだしもおいしい。こちらも新興勢力として今後人気が出そうですね☆行く末に期待。ごちそうさまでしたm(__)m
0,うなぎ仁,福岡市中央区薬院六ツ角エリアに位置します。従前は焼鳥屋「炭寅」さんが入っていた店舗を全面改装されていますね～外観は料亭！店内は和風モダンなデザインで各種テーブル席がレイアウトされたいます。コチラは鹿児島県大隅半島にて「養鰻業」を営む企業さんで国内最大規模だとか・・・こだわりの「養鰻」は良質なシラス台地からくみ上げる豊富な地下水を利用し水温、水位、水流等をコンピューター管理にて24時間行われ魚粉を中心とした鰻の育成に適した配合飼料を与えている。約0.2gのシラス（ウナギ稚魚）を成鰻に育てるまで7ヶ月から1年かけて出荷されているそうです。頂いたのは「うなぎ白焼き」「うな重」！白焼きはシンプルにうなぎ本来の味を楽しめますね～先ずは「うなぎ白焼き」から～おっ想像した脂乗りと違ったアスリート系で臭みなどはありません。成鰻の熟成月数は他店と違うのかな？それとも養鰻の仕方？餌など環境なのかな～醤油と山椒をつけて頂きましたが・・・本わさびがあれば尚一層美味しさが引き立つかな。「うな重」は「上」「特上」「頂上」とあります！今回は「特上」をお願いしました。この3種類は鰻のサイズでしょう～他店と同じようにね「松竹梅」で種類分けしてるとこありから。先ずは何も付けずに単味でパクリと・・・鰻の状態は白焼きと同じですがタレが良いですね。タレはこだわり醤油＆味醂を使用しているとのことだが甘すぎずキレのある好きなタレです。福岡博多はどちらかというと甘ったらしいタレがスタンダードですがコチラは違います。タレ焼きの鰻はもう少し脂乗りがあった方が美味しく頂けるかな～タレが勝ちすぎてるような。然し乍ら・・・使用されるご飯は美味しかったわ～肝吸いも良かったね。またの機会に鰻食べに行ってみようかな～鰻巻きとか食べてみたいね！お持ち帰りの「うなぎ弁当」もあるようなのでお土産には喜ばれそうです。ごちそうさまでした。EnjoyGourmetLife☆
0,うなぎ仁,2019年盛夏新店情報仕入れたらウナギストとして行かないとね～wwオープンの時は並んでたと聞いてたので覚悟して行ったら昼ど真ん中余裕♪新店ならではでかなり小綺麗な箱で広い！平日だからそこそこの入りね～もちろんうな重頼むよ～並は無く上(細身一尾)特上(太目一尾)頂上(一尾半)って事なら中庸で特上ねwwそんなに待つ事なく～『うな重(特上)』様(4121円)※肝吸い付。良いね～ウナギスト嬉しくなるビジュアルだね♪まずは肝吸いで気持ちを落ち着かせて・・・うん・・・少し香るね～肝吸い。まぁ本丸大切だから～鰻様頂いてみると、ほぉ～味付けはかなりアッサリでシャープな感じは良いですね♪九州よろしくの地焼きだけどなんとなく焼きが甘いと言うか皮目のパリッと感が無いな～ただ養鰻屋さん直営！？だけあってこの時期なのに鰻の脂の乗りは素晴らしい米もしっかり軽い固目が好印象！！米良し、素材良し、タレ良し・・・なんだけど焼きと肝吸いが残念（涙）まだオープン仕立てだから長い目で見ればもっといい感じになるかもね～・・・さてとしっかり仕事しますかね～精付いたしねｗｗ
0,うなぎ仁,薬院六ツ角に出来た鹿児島産のウナギ料理が楽しめるお店です。薬院に養殖場から直送するうなぎが食べれるお店が出来たと聞いて早速訪問してみました。開店当日の午前中だったんですがお店はほぼ満席、お客様の期待が解りますね。メニューの中から蒲焼膳を注文してみました。暫く待つと注文した蒲焼膳（上）３２００円の出来上がりです。御膳の汁椀はウナギ料理には欠かせない肝吸いです。香の物が添えられたご飯は少なめ、普通、大盛りが選べましたが普通にしてもらいました、ご飯は鰻と同じ鹿児島産の「あきほなみ」が使ってあります。うなぎは表面をカリッと焼き上げた鹿児島産の良質なうなぎ。厳選された醤油と熟成した本みりんのタレで仕上げられた蒲焼はご飯にピッタリ、ご飯は大盛りにして貰った方が良かったかな・・・お店は薬院六つ角より一つけやき通り寄りの路地沿いにあります。うなぎ仁住所福岡市中央区薬院2-15-10サンフラワー薬院1F電話050-5597-4633営業時間11:00～21:00(L.O)もし良かったらランキングに参加しとりますけん此処をポチッとクリックしてくんしゃい
0,うなぎ仁,こちらのお店は初めて行きました。同じエリアの『山道』さんは何度行った事がありますが、初めてでしたので楽しみです。店内に入ると、思ったよりも広くて、高級感がありますね。料理の金額も山道さんよりも、ちょっと高い気がします。料理を注文して待っている時間も料金の一部ですよね。待ち時間をゆっくり楽しみたいと思います。料理が出てくると、思った以上にたくさんの鰻が…嬉しいですよね。味も美味しい。鰻もフワフワです。山道さんとは違った感じはしますが、こちらのお店も行く価値はあると思います。次回は、母を連れて、家族で行きたいと思います。
0,うなぎ仁,ここが噂の新店かぁどれどれ(..)お邪魔しました(*^^*)焼が賛否あるみたいなのでふっくらジューシーな蒸籠にもそそられましたが、白焼きも捨てがたいし、なにより焼きを確かめてみようと白焼き定食にしてみました(*^^*)ビールとうざく様も…白焼きはパリッと感は少し足りない気もしましたが、まぁ熱々でふっくらおいしかったですよそう言えばうなぜんのお母さんが、もう少し寒くなって皮が厚くなった頃が旬だからおいで～って言ってたけど、ここももう少し寒くなってきたらいいのかなぁまとりあえず鰻満喫出来した(^^)dごちそうさまでしたm(__)m
0,うなぎ仁,オープンしてから気になっていたお店。店内は、品の良い落ち着いた雰囲気で個室もあり接待利用できそう。メニューは、うな丼、うな重、せいろ蒸し、ひつまぶし、蒲焼き、白焼き、蒲焼きと白焼き食べ比べ膳、会席コースもある。蒲焼きと白焼き膳の上蒲焼きのタレがあっさり甘くなく、鰻の風味を上手に活かしている。白焼きはフワフワ皮パリで風味も丁度良く、鹿児島醤油で甘いかと思いきや甘くなくスッキリ醤油を使用。ご飯が鹿児島県産米なので、良く合ってて思わずお代わりしてしまった。(先日、岡山の青うなぎ屋さんのご飯が不味かったので好印象)別注の骨せんべいは、流石プロ直営らしく骨が大きくシンプルで美味い☆
0,うなぎ仁,表通りからは想像がつかない立派な門構えです。純和風の店内には聞き覚えのあるヴァイオリンコンチェルトが流れています。鰻もご飯もふっくらとしています。備え付けのタレをお好みでかけながら食べられる薄さにされてあるのでしょうか、角のない薄味で鰻の香ばしさが引き立ちます。私は肝吸いが美味しい…と味わっていましたが、連れは生臭いと言って残していました。うーむ。。個体によるのか？個人差か？夏の暑い日にスタミナつけよう！というよりは、お上品に味わうコンセプトなのだろうと思います。
